question-word,answer-word,guess-word,label
enormously,tremendously,,guess
provisions,stipulations,,guess
haphazardly,randomly,,guess
prominent,conspicuous,,guess
zenith,pinnacle,completion,wrong
flawed,imperfect,,guess
urgently,desperately,desperately,correct
consumed,eaten,caught,wrong
advent,coming,,guess
concisely,succinctly,,guess
salutes,greetings,,guess
solitary,alone,restless,wrong
hasten,accelerate,determine,wrong
perseverance,endurance,,guess
fanciful,imaginative,,guess
showed,demonstrated,repeated,wrong
constantly,continually,rapidly,wrong
issues,subjects,,guess
furnish,supply,,guess
costly,expensive,,guess
recognized,acknowledged,acknowledged,correct
spot,location,sea,wrong
make,earn,trade,wrong
often,frequently,frequently,correct
easygoing,relaxed,,guess
debate,argument,,guess
narrow,thin,thin,correct
arranged,planned,explained,wrong
infinite,limitless,unusual,wrong
showy,striking,,guess
levied,imposed,,guess
deftly,skillfully,,guess
distribute,circulate,research,wrong
discrepancies,differences,,guess
prolific,productive,,guess
unmatched,unequaled,,guess
peculiarly,uniquely,partly,wrong
hue,color,color,correct
hind,rear,,guess
highlight,accentuate,,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,,guess
grin,smile,smile,correct
verbally,orally,,guess
physician,doctor,nurse,wrong
essentially,basically,eagerly,wrong
keen,sharp,sharp,correct
situated,positioned,,guess
principal,major,,guess
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,materials,wrong
unlikely,improbable,,guess
halfheartedly,apathetically,,guess
annals,chronicles,,guess
wildly,furiously,abruptly,wrong
hailed,acclaimed,remembered,wrong
command,mastery,love,wrong
concocted,devised,,guess
prospective,potential,particular,wrong
generally,broadly,broadly,correct
sustained,prolonged,,guess
perilous,dangerous,dangerous,correct
tranquillity,peacefulness,,guess
dissipate,disperse,,guess
primarily,chiefly,occasionally,wrong
colloquial,conversational,,guess
resolved,settled,forgotten,wrong
feasible,possible,,guess
expeditiously,rapidly,,guess
percentage,proportion,volume,wrong
terminated,ended,ended,correct
uniform,alike,hard,wrong
figure,solve,express,wrong
sufficient,enough,valuable,wrong
fashion,manner,manner,correct
marketed,sold,,guess
bigger,larger,closer,wrong
roots,origins,cure,wrong
normally,ordinarily,,guess
